iter,|W|,DeltaL,DeltaU,Strategy
186,65,121,174,3
187,61,121,174,3
188,57,121,174,3
189,56,121,174,3
190,40,121,174,3
191,25,121,174,3
192,24,121,174,3
193,20,121,174,3
194,13,121,174,3
195,12,121,174,3
196,10,121,174,3
197,9,121,174,3
198,6,121,174,3
199,2,121,174,3
200,1,121,174,3
201,0,121,174,3
